date, pm25, pm10, o3, no2, so2, co
2017/8/22, 39, 18, 9, 4, , 2
2017/8/23, 51, 12, 9, 2, , 2
2017/8/24, 40, 15, 11, 2, , 2
2017/8/25, 41, 21, 10, 2, , 1
2017/8/26, 29, 39, 11, 3, 1, 2
2017/8/27, 56, 23, 11, 1, , 1
2017/8/28, 27, 52, 12, 2, , 1
2017/8/29, 58, 66, 12, 4, 1, 2
2017/8/30, 75, 72, 11, 5, 1, 2
2017/8/31, 79, 50, 9, 5, 1, 2
2017/9/1, 78, 38, 11, 5, , 2
2017/9/2, 60, 17, 11, 4, , 2
2017/9/3, 49, 30, 6, 5, , 2
2017/9/4, 71, 11, 11, 3, , 2
2017/9/5, 31, 60, 5, 5, , 6
2017/9/6, 133, , , , , 
2017/9/12, 60, 56, 12, 5, 1, 2
2017/9/13, 62, 75, 6, 6, , 2
2017/9/14, 75, 66, 11, 5, 1, 2
2017/9/15, 67, 31, 11, 3, , 2
2017/9/16, 54, 70, 11, 3, , 2
2017/9/17, 69, 77, 12, 4, , 3
2017/9/18, 83, 62, 13, 2, , 2
2017/9/19, 61, 76, 12, 5, , 3
2017/9/20, 86, 82, 12, 4, 1, 2
2017/9/21, 64, 21, 11, 3, 1, 2
2017/9/22, 42, 24, 11, 3, , 2
2017/9/23, 52, 30, 12, 5, 1, 3
2017/9/24, 69, 43, 13, 4, 1, 3
2017/9/25, 63, 23, 12, 2, , 2
2017/9/26, 40, 54, 5, 5, , 5
2017/9/27, 110, 46, 11, 2, , 3
2017/9/28, 66, 64, 11, 4, 1, 5
2017/9/29, 99, 81, 11, 5, 1, 4
2017/9/30, 97, 40, 12, 4, 1, 3
2017/10/1, 63, 39, 10, 2, , 3
2017/4/2, 135, 135, 30, 8, 5, 4
2017/4/3, 128, 94, 26, 7, 4, 3
2017/4/4, 95, 112, 21, 9, 7, 4
2017/4/5, 123, 70, 28, 4, 2, 2
2017/4/6, 81, 158, 31, 6, 3, 3
2017/4/7, 127, 113, 32, 4, 2, 2
2017/4/8, 101, 134, 25, 7, 4, 4
2017/4/9, 123, 141, 26, 7, 4, 4
2017/4/10, 137, 107, 37, 2, 1, 1
2017/4/11, 90, 107, 33, 7, 3, 4
2017/4/12, 108, 130, 27, 8, 4, 4
2017/4/13, 133, 138, 31, 6, 3, 4
2017/4/14, 126, 137, 32, 9, 5, 4
2017/4/15, 132, 122, 30, 7, 4, 3
2017/4/16, 126, 52, 29, 5, 3, 2
2017/4/17, 79, 40, 34, 4, 2, 2
2017/4/18, 69, 141, 31, 5, 2, 3
2017/4/19, 105, 50, 34, 2, 1, 1
2017/4/20, 57, 49, 28, 3, 2, 2
2017/4/21, 63, 79, 34, 4, 2, 2
2017/4/22, 77, 86, 34, 2, 2, 1
2017/4/23, 68, 90, 36, 2, 2, 1
2017/4/24, 85, 71, 29, 2, 3, 2
2017/4/25, 77, 90, 29, 5, 5, 3
2017/4/26, 98, 102, 35, 7, 4, 3
2017/4/27, 112, 134, 35, 7, 4, 4
2017/4/28, 127, 138, 29, 7, 5, 3
2017/4/29, 122, 146, 40, 9, 5, 3
2017/4/30, 155, 158, 29, 7, 5, 3
2017/5/1, 151, 165, 34, 5, 4, 2
2017/5/2, 141, 121, 32, 3, 4, 1
2017/5/3, 98, 45, 28, 1, , 1
2017/5/4, 42, 50, 34, 1, 3, 1
2017/5/5, 52, 66, 32, 2, 1, 1
2017/5/6, 66, 106, 31, 4, 1, 3
2017/5/7, 94, 124, 31, 6, 1, 2
2017/5/8, 109, 188, 33, 5, 1, 2
2017/5/9, 108, 51, 29, 2, , 1
2017/5/10, 52, 126, 33, 4, 2, 1
2017/5/11, 83, 40, 33, , , 1
2017/5/12, 35, 48, 37, 3, 8, 1
2017/5/13, 46, 68, 33, 5, 3, 2
2017/5/14, 65, 68, 33, 5, 2, 1
2017/5/15, 62, 97, 29, 5, 2, 2
2017/5/16, 83, 121, 28, 5, 1, 1
2017/5/17, 95, 111, 25, 7, 2, 2
2017/5/18, 95, 98, 32, 2, 1, 1
2017/5/19, 71, 101, 30, 6, 7, 1
2017/5/20, 78, 18, 22, 4, 1, 1
2017/5/21, 45, 28, 27, 5, , 2
2017/5/22, 60, 38, 30, 4, , 1
2017/5/23, 49, 75, 32, 7, 1, 1
2017/5/24, 71, 76, 25, 6, 1, 1
2017/5/25, 68, 117, 22, 7, 1, 1
2017/5/26, 83, 127, 22, 8, 3, 2
2017/5/27, 95, 72, 32, 3, 4, 1
2017/5/28, 71, 60, 27, 2, , 1
2017/5/29, 51, 88, 35, 7, 2, 1
2017/5/30, 74, 89, 34, 5, 1, 1
2017/5/31, 74, 85, 28, 5, 1, 1
2017/6/1, 72, 82, 30, 4, 4, 1
2017/6/2, 74, 55, 33, 1, , 1
2017/6/3, 54, 70, 24, 3, 1, 1
2017/6/4, 57, 51, 23, 2, 2, 1
2017/6/5, 47, 99, 27, 4, 2, 1
2017/6/6, 76, 50, 28, 1, , 1
2017/6/7, 54, 92, 28, 4, , 1
2017/6/8, 74, 91, 28, 5, 1, 1
2017/6/9, 75, 97, 30, 3, 1, 1
2017/6/10, 79, 75, 32, 1, , 1
2017/6/11, 57, 80, 33, 3, 1, 1
2017/6/12, 65, 69, 26, 4, 1, 1
2017/6/13, 56, 80, 27, 3, 2, 1
2017/6/14, 58, 185, 38, 5, 3, 1
2017/6/15, 112, 90, 31, 6, 3, 1
2017/6/16, 87, 72, 31, 5, 3, 1
2017/6/17, 67, 68, 32, 2, 1, 1
2017/6/18, 64, 78, 29, 2, 1, 1
2017/6/19, 88, 85, 23, 4, 1, 1
2017/6/20, 93, 13, 29, 6, 1, 1
2017/6/21, 45, 20, 27, 5, 2, 1
2017/6/22, 51, 21, 22, 5, 2, 1
2017/6/23, 38, 48, 23, 8, 2, 1
2017/6/24, 57, 60, 22, 8, 1, 1
2017/6/25, 69, 79, 21, 7, 2, 1
2017/6/26, 76, 80, 20, 8, 3, 1
2017/6/27, 74, 80, 19, 9, 3, 1
2017/6/28, 82, 69, 26, 6, 6, 2
2017/6/29, 108, 39, 27, 4, 4, 1
2017/6/30, 72, 56, 18, 6, 4, 1
2017/7/1, 71, 11, 24, 3, 2, 1
2017/1/3, 263, 177, 3, 29, 25, 28
2017/1/4, 316, 102, 3, 21, 20, 16
2017/1/5, 206, 111, 4, 20, 19, 18
2017/1/6, 221, 133, 2, 22, 21, 23
2017/1/7, 261, 96, 5, 19, 17, 14
2017/1/8, 200, 77, 14, 10, 6, 9
2017/1/9, 180, 91, 11, 14, 10, 12
2017/1/10, 197, 143, 6, 13, 9, 19
2017/1/11, 274, 172, 3, 16, 13, 25
2017/1/12, 329, 157, 2, 18, 18, 22
2017/1/13, 300, 114, 4, 18, 15, 15
2017/1/14, 229, 75, 12, 16, 12, 9
2017/1/15, 170, 113, 7, 13, 13, 14
2017/1/16, 220, 130, 4, 16, 16, 16
2017/1/17, 245, 142, 4, 14, 13, 18
2017/1/18, 277, 158, 7, 14, 14, 20
2017/1/19, 292, 154, 5, 14, 13, 18
2017/1/20, 280, 91, 10, 15, 19, 11
2017/1/21, 192, 91, 12, 12, 10, 11
2017/1/22, 200, 106, 6, 20, 18, 14
2017/1/23, 213, 98, 6, 19, 18, 12
2017/1/24, 200, 84, 6, 20, 16, 10
2017/1/25, 181, 60, , 13, 14, 8
2017/1/26, 143, 72, 6, 12, 9, 9
2017/1/27, 165, 106, 8, 21, 19, 14
2017/1/28, 209, 42, 25, 4, 4, 2
2017/1/29, 78, 88, 14, 11, 10, 8
2017/1/30, 173, 99, 15, 15, 12, 11
2017/1/31, 201, 142, 13, 19, 17, 18
2017/2/1, 268, 123, 8, 23, 20, 14
2017/2/2, 224, 106, 10, 20, 16, 13
2017/2/3, 207, , , , , 
2017/2/6, 243, 110, 10, 21, 18, 13
2017/2/7, 209, 44, 17, 8, 7, 5
2017/2/8, 113, 90, 14, 14, 10, 10
2017/2/9, 187, 116, 10, 18, 17, 12
2017/2/10, 229, 98, 10, 20, 16, 10
2017/2/11, 194, 92, 11, 20, 17, 10
2017/2/12, 192, 106, 10, 22, 19, 12
2017/2/13, 203, 69, 15, 17, 15, 7
2017/2/14, 160, 97, 10, 23, 20, 12
2017/2/15, 195, 34, 27, 8, 10, 3
2017/2/16, 93, 60, 22, 10, 7, 6
2017/2/17, 143, 88, 16, 15, 11, 9
2017/2/18, 183, 67, 24, 14, 14, 6
2017/2/19, 143, 34, 28, 6, 5, 3
2017/2/20, 88, 72, 20, 12, 7, 7
2017/2/21, 150, 76, 21, 11, 6, 7
2017/2/22, 156, 61, 26, 9, 4, 6
2017/2/23, 138, 82, 20, 15, 10, 8
2017/2/24, 168, 101, 21, 15, 9, 12
2017/2/25, 202, 85, 20, 13, 7, 10
2017/2/26, 178, 69, 22, 13, 8, 7
2017/2/27, 155, 72, 23, 11, 6, 8
2017/2/28, 155, 48, 32, 7, 3, 3
2017/3/1, 95, 60, 27, 9, 4, 5
2017/3/2, 135, 68, 22, 13, 8, 7
2017/3/3, 153, 49, 27, 10, 8, 5
2017/3/4, 123, 30, 29, 6, 4, 3
2017/3/5, 82, 43, 28, 6, 3, 3
2017/3/6, 103, 26, 30, 4, 3, 2
2017/3/7, 76, 49, 26, 7, 4, 5
2017/3/8, 121, 63, 24, 8, 5, 8
2017/3/9, 143, 70, 22, 12, 7, 8
2017/3/10, 144, 58, 32, 9, 5, 6
2017/3/11, 121, 40, 29, 4, 2, 3
2017/3/12, 80, 77, 24, 10, 7, 8
2017/3/13, 148, 80, 21, 11, 7, 8
2017/3/14, 150, 78, 22, 10, 6, 8
2017/3/15, 140, 71, 23, 10, 6, 7
2017/3/16, 131, 63, 23, 9, 6, 5
2017/3/17, 102, 53, 33, 6, 5, 3
2017/3/18, 91, 56, 21, 12, 11, 4
2017/3/19, 132, 67, 28, 8, 7, 5
2017/3/20, 122, 64, 25, 7, 4, 5
2017/3/21, 110, 59, 28, 5, 3, 2
2017/3/22, 80, 58, 23, 7, 4, 6
2017/3/23, 116, 48, 32, 4, 3, 2
2017/3/24, 70, 69, 37, 3, 3, 2
2017/3/25, 79, 91, 34, 6, 3, 6
2017/3/26, 125, 99, 26, 8, 5, 7
